The document id, The normalized weight of the word in the document
141.html, 0.060
145.html, 0.128
146.html, 0.034
152.html, 0.017
156.html, 0.028
160.html, 0.089
181.html, 0.014
225.html, 0.250
234.html, 0.024
243.html, 0.086
246.html, 0.039
251.html, 0.053
256.html, 0.045
259.html, 0.063
287.html, 0.030
289.html, 0.016
298.html, 0.013
304.html, 0.016
308.html, 0.024
325.html, 0.030
333.html, 0.015
037.html, 0.199
070.html, 0.285
086.html, 0.566
101.html, 0.111
146.html, 0.088
181.html, 0.036
235.html, 0.092
236.html, 0.127
277.html, 0.089
282.html, 0.041
323.html, 0.076
340.html, 0.022
037.html, 0.266
062.html, 0.537
146.html, 0.117
179.html, 0.082
181.html, 0.097
223.html, 0.157
234.html, 0.081
308.html, 0.083
326.html, 0.113
307.html, 0.134
309.html, 0.063
325.html, 0.115
326.html, 0.127
433.html, 0.008
434.html, 0.009
435.html, 0.009
436.html, 0.012
358.html, 0.258
346.html, 0.228
028.html, 1.623
119.html, 0.285
260.html, 0.590
291.html, 0.564
298.html, 0.101
034.html, 1.356
050.html, 0.721
435.html, 0.037
437.html, 0.043
001.html, 0.188
240.html, 0.116
416.html, 0.191
418.html, 0.191
421.html, 0.188
425.html, 0.189
436.html, 0.093
434.html, 0.073
433.html, 0.031
437.html, 0.043
027.html, 0.133
289.html, 0.121
295.html, 3.331
395.html, 0.317
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
194.html, 3.782
437.html, 0.086
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.047
434.html, 0.024
435.html, 0.049
436.html, 0.062
433.html, 0.049
434.html, 0.044
435.html, 0.044
436.html, 0.037
437.html, 0.069
433.html, 0.031
434.html, 0.036
181.html, 0.073
433.html, 0.010
434.html, 0.012
435.html, 0.012
436.html, 0.016
437.html, 0.014
433.html, 0.020
434.html, 0.024
437.html, 0.029
487.html, 5.467
329.html, 1.649
459.html, 2.697
492.html, 0.547
462.html, 0.380
492.html, 0.547
009.html, 1.787
316.html, 2.187
316.html, 2.187
434.html, 0.024
435.html, 0.024
436.html, 0.031
437.html, 0.086
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.031
434.html, 0.036
181.html, 0.437
433.html, 0.020
434.html, 0.024
435.html, 0.024
021.html, 0.860
124.html, 0.449
181.html, 0.175
383.html, 0.116
391.html, 0.261
040.html, 0.157
056.html, 0.998
067.html, 0.345
070.html, 0.163
139.html, 0.155
168.html, 0.357
178.html, 0.196
188.html, 0.170
198.html, 0.258
208.html, 0.157
211.html, 0.200
218.html, 0.303
228.html, 0.374
252.html, 0.050
281.html, 0.039
284.html, 0.060
328.html, 0.051
348.html, 0.012
358.html, 0.025
376.html, 0.012
383.html, 0.248
040.html, 0.329
248.html, 0.367
249.html, 0.104
269.html, 0.145
382.html, 0.136
172.html, 4.089
079.html, 3.542
007.html, 0.310
079.html, 1.771
437.html, 0.086
345.html, 0.259
134.html, 14.794
433.html, 0.031
434.html, 0.036
060.html, 3.164
433.html, 0.025
434.html, 0.058
435.html, 0.044
436.html, 0.037
437.html, 0.035
344.html, 0.042
433.html, 0.184
434.html, 0.218
435.html, 0.171
436.html, 0.171
437.html, 0.202
